timestamp,objid,x,y,z
2025-01-01T00:00:00,obj001,2847.1,89.5,-1853.5
2025-01-01T00:00:00,obj002,1302.5,89.5,-1946.4
2025-01-01T00:00:01,obj001,2639,89.5,-1853.4
2025-01-01T00:00:01,obj002,1503.6,96.2,-1947
2025-01-01T00:00:02,obj001,2430.8,89.5,-1853.4
2025-01-01T00:00:02,obj002,1704.7,102.9,-1947.6
2025-01-01T00:00:03,obj001,2222.7,89.5,-1853.3
2025-01-01T00:00:03,obj002,1905.8,109.6,-1948.2
2025-01-01T00:00:04,obj001,2014.6,89.5,-1853.2
2025-01-01T00:00:04,obj002,2106.9,116.3,-1948.8
2025-01-01T00:00:05,obj001,1806.5,89.5,-1853.2
2025-01-01T00:00:05,obj002,2308,123,-1949.4
2025-01-01T00:00:06,obj001,1598.3,89.5,-1853.1
2025-01-01T00:00:06,obj002,2509.1,129.7,-1950
2025-01-01T00:00:07,obj001,1390.2,89.5,-1853.1
2025-01-01T00:00:07,obj002,2710.2,136.4,-1950.6
2025-01-01T00:00:08,obj001,1182.1,89.5,-1853.1
2025-01-01T00:00:08,obj002,2911.3,143.1,-1951.2
2025-01-01T00:00:09,obj001,974,89.5,-1853.1
2025-01-01T00:00:09,obj002,3113.5,149.8,-1952.2
2025-01-01T00:00:10,obj001,974,89.5,-1853.1
2025-01-01T00:00:10,obj002,3113.5,149.8,-1952.2
2025-01-01T00:00:11,obj001,1182.1,89.5,-1852.3
2025-01-01T00:00:11,obj002,2887.1,142.7,-1951.5
2025-01-01T00:00:12,obj001,1390.2,89.5,-1851.6
2025-01-01T00:00:12,obj002,2660.7,135.6,-1950.8
2025-01-01T00:00:13,obj001,1598.3,89.5,-1850.9
2025-01-01T00:00:13,obj002,2434.3,128.5,-1950.1
2025-01-01T00:00:14,obj001,1806.5,89.5,-1850.1
2025-01-01T00:00:14,obj002,2207.9,121.4,-1949.4
2025-01-01T00:00:15,obj001,2014.6,89.5,-1849.4
2025-01-01T00:00:15,obj002,1981.5,114.3,-1948.7
2025-01-01T00:00:16,obj001,2222.7,89.5,-1848.7
2025-01-01T00:00:16,obj002,1755.1,107.2,-1948
2025-01-01T00:00:17,obj001,2430.8,89.5,-1848
2025-01-01T00:00:17,obj002,1528.7,100.1,-1947.3
2025-01-01T00:00:18,obj001,2639,89.5,-1847.2
2025-01-01T00:00:18,obj002,1302.5,89.5,-1946.4
2025-01-01T00:00:19,obj001,2847.1,89.5,-1846.5
2025-01-01T00:00:19,obj002,1302.5,89.5,-1946.4
2025-01-01T00:00:20,obj001,2847.1,89.5,-1840.4
2025-01-01T00:00:20,obj002,1302.5,89.5,-1946.4
2025-01-01T00:00:21,obj001,2639,89.5,-1851.6
2025-01-01T00:00:21,obj002,1503.6,96.2,-1947
2025-01-01T00:00:22,obj001,2430.8,89.5,-1850.9
2025-01-01T00:00:22,obj002,1704.7,102.9,-1947.6
2025-01-01T00:00:23,obj001,2222.7,89.5,-1850.2
2025-01-01T00:00:23,obj002,1905.8,109.6,-1948.2
2025-01-01T00:00:24,obj001,2014.6,89.5,-1849.4
2025-01-01T00:00:24,obj002,2106.9,116.3,-1948.8
2025-01-01T00:00:25,obj001,1806.5,89.5,-1848.7
2025-01-01T00:00:25,obj002,2308,123,-1949.4
2025-01-01T00:00:26,obj001,1598.3,89.5,-1848
2025-01-01T00:00:26,obj002,2509.1,129.7,-1950
2025-01-01T00:00:27,obj001,1390.2,89.5,-1847.3
2025-01-01T00:00:27,obj002,2710.2,136.4,-1950.6
2025-01-01T00:00:28,obj001,1182.1,89.5,-1846.5
2025-01-01T00:00:28,obj002,2911.3,143.1,-1951.2
2025-01-01T00:00:29,obj001,974,89.5,-1853.1
2025-01-01T00:00:29,obj002,3113.5,149.8,-1952.2
2025-01-01T00:00:30,obj001,974,89.5,-1853.1
2025-01-01T00:00:30,obj002,3113.5,149.8,-1952.2
2025-01-01T00:00:31,obj001,1182.1,89.5,-1852.3
2025-01-01T00:00:31,obj002,2887.1,142.7,-1951.5
2025-01-01T00:00:32,obj001,1390.2,89.5,-1851.6
2025-01-01T00:00:32,obj002,2660.7,135.6,-1950.8
2025-01-01T00:00:33,obj001,1598.3,89.5,-1850.9
2025-01-01T00:00:33,obj002,2434.3,128.5,-1950.1
2025-01-01T00:00:34,obj001,1806.5,89.5,-1850.1
2025-01-01T00:00:34,obj002,2207.9,121.4,-1949.4
2025-01-01T00:00:35,obj001,2014.6,89.5,-1849.4
2025-01-01T00:00:35,obj002,1981.5,114.3,-1948.7
2025-01-01T00:00:36,obj001,2222.7,89.5,-1848.7
2025-01-01T00:00:36,obj002,1755.1,107.2,-1948
2025-01-01T00:00:37,obj001,2430.8,89.5,-1848
2025-01-01T00:00:37,obj002,1528.7,100.1,-1947.3
2025-01-01T00:00:38,obj001,2639,89.5,-1847.2
2025-01-01T00:00:38,obj002,1302.5,89.5,-1946.4
2025-01-01T00:00:39,obj001,2847.1,89.5,-1840.4
2025-01-01T00:00:39,obj002,1302.5,89.5,-1946.4
2025-01-01T00:00:40,obj001,2847.1,89.5,-1840.4
2025-01-01T00:00:40,obj002,1302.5,89.5,-1946.4
2025-01-01T00:00:41,obj001,2639,89.5,-1845.7
2025-01-01T00:00:41,obj002,1503.6,96.2,-1947
2025-01-01T00:00:42,obj001,2430.8,89.5,-1847
2025-01-01T00:00:42,obj002,1704.7,102.9,-1947.6
2025-01-01T00:00:43,obj001,2222.7,89.5,-1848.3
2025-01-01T00:00:43,obj002,1905.8,109.6,-1948.2
2025-01-01T00:00:44,obj001,2014.6,89.5,-1849.6
2025-01-01T00:00:44,obj002,2106.9,116.3,-1948.8
2025-01-01T00:00:45,obj001,1806.5,89.5,-1850.8
2025-01-01T00:00:45,obj002,2308,123,-1949.4
2025-01-01T00:00:46,obj001,1598.3,89.5,-1852.1
2025-01-01T00:00:46,obj002,2509.1,129.7,-1950
2025-01-01T00:00:47,obj001,1390.2,89.5,-1853.4
2025-01-01T00:00:47,obj002,2710.2,136.4,-1950.6
2025-01-01T00:00:48,obj001,1182.1,89.5,-1854.7
2025-01-01T00:00:48,obj002,2911.3,143.1,-1951.2
2025-01-01T00:00:49,obj001,974,89.5,-1853.1
2025-01-01T00:00:49,obj002,3113.5,149.8,-1952.2
2025-01-01T00:00:50,obj001,974,89.5,-1853.1
2025-01-01T00:00:50,obj002,3113.5,149.8,-1952.2
2025-01-01T00:00:51,obj001,1182.1,89.5,-1852.3
2025-01-01T00:00:51,obj002,2887.1,142.7,-1951.5
2025-01-01T00:00:52,obj001,1390.2,89.5,-1851.6
2025-01-01T00:00:52,obj002,2660.7,135.6,-1950.8
2025-01-01T00:00:53,obj001,1598.3,89.5,-1850.9
2025-01-01T00:00:53,obj002,2434.3,128.5,-1950.1
2025-01-01T00:00:54,obj001,1806.5,89.5,-1850.1
2025-01-01T00:00:54,obj002,2207.9,121.4,-1949.4
2025-01-01T00:00:55,obj001,2014.6,89.5,-1849.4
2025-01-01T00:00:55,obj002,1981.5,114.3,-1948.7
2025-01-01T00:00:56,obj001,2222.7,89.5,-1848.7
2025-01-01T00:00:56,obj002,1755.1,107.2,-1948
